mp_name,party,gender,parliament
Patrick Tay Teck Guan,PAP,M,12
Patrick Tay Teck Guan,PAP,M,13
Patrick Tay Teck Guan,PAP,M,14
Patrick Tay Teck Guan,PAP,M,15
Penny Low,PAP,F,14
Png Eng Huat,WP,M,14
Poh Li San,PAP,F,14
Poh Li San,PAP,F,15
Pritam Singh,WP,M,13
Pritam Singh,WP,M,14
Pritam Singh,WP,M,15
R Dhinakaran,NMP,M,14
Rachel Ong,PAP,F,14
Rachel Ong,PAP,F,15
Raeesah Khan,WP,F,14
Rahayu Mahzam,PAP,F,13
Rahayu Mahzam,PAP,F,14
Rahayu Mahzam,PAP,F,15
Raj Joshua Thomas,NMP,M,14
Randolph Tan,NMP,M,14
Raymond Lim Siang Keat,PAP,M,14
Razwana Begum Abdul Rahim,NMP,M,14
Rita Soh Siow Lan,NMP,F,14
S Iswaran,PAP,M,14
Saktiandi Supaat,PAP,M,14
Saktiandi Supaat,PAP,M,15
Sam Tan Chin Siong,PAP,M,14
Sanjeev Kumar Tiwari,NMP,M,15
Seah Kian Peng,PAP,M,11
Seah Kian Peng,PAP,M,12
Seah Kian Peng,PAP,M,13
Seah Kian Peng,PAP,M,14
Seah Kian Peng,PAP,M,15
See Jinli Jean,NMP,F,14
Seng Han Thong,PAP,M,14
Shahira Abdullah,NMP,F,14
Sharael Taha,PAP,M,14
Sharael Taha,PAP,M,15
Shawn Huang Wei Zhong,PAP,M,14
Shawn Huang Wei Zhong,PAP,M,15
Shawn Loh,PAP,M,14
Shawn Loh,PAP,M,15
Sim Ann,PAP,F,12
Sim Ann,PAP,F,13
Sim Ann,PAP,F,14
Sim Ann,PAP,F,15
Sitoh Yih Pin,PAP,M,14
Sun Xueling,PAP,F,13
Sun Xueling,PAP,F,14
Sun Xueling,PAP,F,15
Syed Harun Alhabsyi,NMP,M,14
Syed Harun Alhabsyi,PAP,M,15
Sylvia Lim,WP,F,12
Sylvia Lim,WP,F,13
Sylvia Lim,WP,F,14
Sylvia Lim,WP,F,15
Tan Chuan-Jin,PAP,M,14
Tan Kheng Boon Eugene,NMP,M,14
Tan Kiat How,PAP,M,14
Tan Kiat How,PAP,M,15
Tan See Leng,PAP,M,14
Tan See Leng,PAP,M,15
Tan Su Shan,NMP,F,14
Tan Tai Yong,NMP,M,14
Tan Wu Meng,PAP,M,14
Tan Yia Swam,NMP,F,14
Teo Chee Hean,PAP,M,14
Teo Ho Pin,PAP,M,14
Teo Ser Luck,PAP,M,14
Teo Siong Seng,NMP,M,14
Terence Ho,NMP,M,15
Terence Ho Wee San,NMP,M,15
Tharman Shanmugaratnam,PAP,M,14
Thomas Chua Kee Seng,NMP,M,14
Tin Pei Ling,PAP,F,12
Tin Pei Ling,PAP,F,13
Tin Pei Ling,PAP,F,14
Tin Pei Ling,PAP,F,15
Usha Chandradas,NMP,F,14
Valerie Lee,PAP,F,14
Valerie Lee,PAP,F,15
Victor Lye,PAP,M,14
Victor Lye,PAP,M,15
Vikram Nair,PAP,M,14
Vikram Nair,PAP,M,15
Vivian Balakrishnan,PAP,M,10
Vivian Balakrishnan,PAP,M,12
Vivian Balakrishnan,PAP,M,13
Vivian Balakrishnan,PAP,M,14
Vivian Balakrishnan,PAP,M,15
Walter Theseira,NMP,M,14
Wan Rizal,PAP,M,14
Wan Rizal,PAP,M,15
Wong Kan Seng,PAP,M,14
Xie Yao Quan,PAP,M,14
Xie Yao Quan,PAP,M,15
Yaacob Ibrahim,PAP,M,14
Yee Chia Hsing,PAP,M,14
Yee Jenn Jong,WP,M,14
Yeo Guat Kwang,PAP,M,14
Yeo Wan Ling,PAP,M,14
Yeo Wan Ling,PAP,M,15
Yip Hon Weng,PAP,M,14
Yip Hon Weng,PAP,M,15
Yip Pin Xiu,NMP,F,14
Zainal Sapari,PAP,M,14
Zainudin Nordin,PAP,M,14
Zaqy Mohamad,PAP,M,11
Zaqy Mohamad,PAP,M,12
Zaqy Mohamad,PAP,M,13
Zaqy Mohamad,PAP,M,14
Zaqy Mohamad,PAP,M,15
Zhulkarnain Abdul Rahim,PAP,M,14
Zhulkarnain Abdul Rahim,PAP,M,15
